iter	Passed	Remaining
400	16026	103870
401	16054	103755
402	16085	103654
403	16124	103613
404	16170	103611
405	16219	103627
406	16254	103556
407	16286	103465
408	16318	103379
409	16357	103328
410	16406	103347
411	16444	103298
412	16478	103219
413	16513	103146
414	16545	103058
415	16576	102968
416	16609	102884
417	16652	102860
418	16683	102770
419	16710	102647
420	16747	102595
421	16793	102590
422	16840	102594
423	16879	102553
424	16922	102527
425	16954	102442
426	16982	102330
427	17013	102242
428	17047	102167
429	17081	102091
430	17111	101993
431	17139	101887
432	17169	101788
433	17195	101665
434	17222	101550
435	17246	101423
436	17275	101319
437	17305	101226
438	17333	101116
439	17360	101004
440	17390	100913
441	17423	100838
442	17454	100745
443	17484	100652
444	17522	100608
445	17567	100600
446	17603	100543
447	17637	100469
448	17666	100371
449	17699	100296
450	17732	100221
451	17764	100139
452	17797	100064
453	17824	99956
454	17849	99837
455	17881	99761
456	17912	99676
457	17965	99712
458	18004	99669
459	18031	99565
460	18063	99488
461	18093	99396
462	18131	99353
463	18162	99268
464	18188	99156
465	18213	99040
466	18237	98917
467	18261	98799
468	18287	98688
469	18318	98607
470	18349	98527
471	18378	98433
472	18455	98598
473	18485	98513
474	18511	98400
475	18554	98384
476	18600	98385
477	18634	98317
478	18667	98247
479	18694	98145
480	18722	98050
481	18755	97981
482	18790	97920
483	18836	97917
484	18871	97858
485	18923	97885
486	18955	97811
487	18986	97735
488	19022	97679
489	19056	97614
490	19081	97503
491	19104	97387
492	19127	97268
493	19151	97154
494	19179	97059
495	19214	97004
496	19264	97017
497	19318	97060
498	19368	97074
499	19406	97030
500	19451	97026
501	19488	96976
502	19529	96947
503	19567	96903
504	19602	96848
505	19637	96792
506	19679	96765
507	19705	96665
508	19735	96586
509	19763	96493
510	19812	96502
511	19852	96469
512	19883	96393
513	19931	96398
514	19981	96416
515	20014	96351
516	20045	96273
517	20076	96195
518	20109	96131
519	20143	96067
520	20183	96036
521	20214	95962
522	20240	95863
523	20269	95777
524	20302	95710
525	20326	95602
526	20352	95505
527	20379	95414
528	20403	95307
529	20428	95203
530	20451	95095
531	20480	95009
532	20504	94907
533	20533	94821
534	20558	94723
535	20586	94634
536	20609	94526
537	20639	94449
538	20675	94401
539	20710	94349
540	20737	94256
541	20771	94197
542	20805	94141
543	20834	94060
544	20867	93998
545	20900	93938
546	20927	93848
547	20961	93793
548	20998	93745
549	21030	93679
550	21055	93586
551	21082	93497
552	21115	93433
553	21142	93346
554	21166	93247
555	21192	93156
556	21221	93078
557	21250	93000
558	21279	92920
559	21302	92817
560	21330	92734
561	21354	92639
562	21379	92543
563	21403	92443
564	21428	92350
565	21455	92265
566	21481	92175
567	21504	92076
568	21529	91984
569	21553	91884
570	21578	91795
571	21615	91753
572	21643	91672
573	21669	91587
574	21696	91500
575	21723	91419
576	21750	91339
577	21776	91252
578	21807	91182
579	21832	91093
580	21863	91027
581	21890	90949
582	21919	90872
583	21944	90782
584	21971	90702
585	21997	90619
586	22039	90598
587	22065	90514
588	22092	90434
589	22117	90345
590	22141	90252
591	22169	90175
592	22193	90084
593	22219	89998
594	22244	89911
595	22269	89826
596	22295	89743
597	22319	89652
598	22349	89584
599	22382	89529
600	22420	89496
601	22448	89419
602	22476	89348
603	22503	89268
604	22534	89208
605	22564	89140
606	22593	89071
607	22620	88992
608	22646	88911
609	22672	88831
610	22701	88763
611	22727	88679
612	22751	88594
613	22783	88536
614	22810	88459
615	22835	88378
616	22866	88317
617	22894	88244
618	22920	88165
619	22944	88077
620	22972	88005
621	22996	87918
622	23021	87834
623	23044	87746
624	23068	87661
625	23095	87586
626	23120	87504
627	23146	87426
628	23171	87344
629	23198	87270
630	23223	87191
631	23253	87126
632	23279	87050
633	23309	86989
634	23335	86912
635	23362	86838
636	23388	86763
637	23415	86689
638	23439	86606
639	23464	86527
640	23498	86479
641	23524	86403
642	23548	86320
643	23572	86236
644	23595	86152
645	23625	86091
646	23648	86003
647	23671	85919
648	23695	85836
649	23726	85781
650	23755	85716
651	23780	85639
652	23804	85559
653	23831	85486
654	23854	85401
655	23878	85320
656	23905	85250
657	23932	85180
658	23955	85096
659	23978	85015
660	24003	84938
661	24027	84857
662	24050	84775
663	24075	84699
664	24102	84629
665	24129	84563
666	24161	84512
667	24189	84446
668	24213	84367
669	24237	84288
670	24263	84216
671	24288	84143
672	24311	84061
673	24337	83989
674	24364	83923
675	24389	83848
676	24413	83769
677	24438	83697
678	24462	83619
679	24485	83540
680	24509	83463
681	24535	83390
682	24560	83320
683	24590	83262
684	24614	83187
685	24646	83136
686	24674	83076
687	24698	82998
688	24724	82927
689	24749	82858
690	24775	82789
691	24803	82724
692	24826	82646
693	24850	82573
694	24875	82499
695	24899	82425
696	24924	82354
697	24953	82296
698	24980	82230
699	25005	82162
700	25034	82103
701	25061	82037
702	25088	81974
703	25111	81898
704	25138	81834
705	25165	81770
706	25194	81712
707	25218	81640
708	25244	81573
709	25269	81502
710	25297	81443
711	25321	81369
712	25346	81299
713	25377	81249
714	25408	81200
715	25431	81125
716	25454	81050
717	25479	80981
718	25515	80947
719	25539	80874
720	25562	80799
721	25592	80747
722	25619	80684
723	25643	80614
724	25669	80550
725	25694	80480
726	25717	80408
727	25742	80338
728	25766	80268
729	25790	80199
730	25817	80136
731	25844	80075
732	25868	80006
733	25893	79939
734	25920	79878
735	25953	79835
736	25977	79764
737	26004	79703
738	26035	79655
739	26060	79589
740	26085	79524
741	26113	79465
742	26137	79398
743	26161	79327
744	26188	79267
745	26214	79205
746	26241	79146
747	26265	79077
748	26288	79006
749	26313	78939
750	26337	78873
751	26371	78834
752	26397	78770
753	26422	78706
754	26449	78647
755	26473	78581
756	26497	78513
757	26523	78452
758	26547	78383
759	26571	78315
760	26594	78246
761	26620	78185
762	26650	78134
763	26676	78073
764	26702	78012
765	26726	77946
766	26750	77880
767	26776	77818
768	26804	77765
769	26833	77712
770	26864	77668
771	26897	77626
772	26921	77559
773	26946	77496
774	26972	77438
775	26996	77371
776	27023	77313
777	27049	77254
778	27074	77192
779	27098	77127
780	27122	77062
781	27147	76997
782	27171	76933
783	27195	76868
784	27223	76816
785	27251	76761
786	27280	76710
787	27305	76648
788	27328	76582
789	27351	76515
790	27376	76453
791	27400	76388
792	27426	76329
793	27453	76275
794	27487	76238
795	27510	76172
796	27537	76117
797	27561	76052
798	27596	76018
799	27632	75989
800	27686	76007
801	27719	75969
802	27751	75926
803	27779	75874
804	27808	75826
805	27834	75768
806	27860	75711
807	27887	75656
808	27918	75611
809	27944	75554
810	27972	75502
811	27997	75442
812	28023	75383
813	28049	75328
814	28078	75277
815	28103	75219
816	28129	75162
817	28156	75107
818	28180	75044
819	28205	74986
820	28233	74932
821	28256	74869
822	28281	74810
823	28306	74751
824	28333	74696
825	28360	74644
826	28389	74595
827	28415	74539
828	28443	74487
829	28473	74442
830	28505	74402
831	28536	74358
832	28566	74313
833	28595	74266
834	28624	74216
835	28656	74178
836	28683	74124
837	28709	74068
838	28738	74020
839	28775	73994
840	28806	73952
841	28834	73901
842	28861	73849
843	28885	73789
844	28914	73741
845	28940	73685
846	28970	73640
847	29002	73599
848	29033	73558
849	29058	73499
850	29081	73439
851	29105	73377
852	29135	73334
853	29161	73278
854	29186	73221
855	29210	73163
856	29232	73099
857	29259	73046
858	29288	72999
859	29314	72946
860	29349	72912
861	29373	72854
862	29398	72798
863	29426	72749
864	29456	72705
865	29479	72643
866	29505	72590
867	29530	72533
868	29556	72478
869	29585	72433
870	29610	72376
871	29635	72321
872	29659	72264
873	29684	72206
