iter	Logloss
0	0.682116692
1	0.6715502677
2	0.6616937631
3	0.6533258038
4	0.6444503313
5	0.6363336264
6	0.6286483869
7	0.6214256714
8	0.6151709428
9	0.6088050299
10	0.6037821228
11	0.5981209044
12	0.5931040236
13	0.5878920557
14	0.5831568808
15	0.5787468556
16	0.574555011
17	0.5705698844
18	0.5665885265
19	0.5591760248
20	0.5523380429
21	0.5460295278
22	0.5402087378
23	0.5348370643
24	0.5298788488
25	0.5253011985
26	0.5210845894
27	0.5189881452
28	0.5151643898
29	0.51163074
30	0.5083641331
31	0.506863847
32	0.5039257853
33	0.5011144695
34	0.4984875718
35	0.4960326883
36	0.4937382629
37	0.4915935298
38	0.4895884599
39	0.4872903232
40	0.4854701005
41	0.483767665
42	0.4821751859
43	0.4799137006
44	0.4778034389
45	0.4758339267
46	0.4739954385
47	0.4727308812
48	0.4710605823
49	0.4695006233
50	0.468043453
51	0.4664905321
52	0.4651722203
53	0.4639401197
54	0.4629750517
55	0.4618539562
56	0.4605430358
57	0.4595272292
58	0.4585771101
59	0.4574158192
60	0.4566259515
61	0.4559489162
62	0.4553783861
63	0.4545549439
64	0.454025537
65	0.4530346229
66	0.4525475258
67	0.4518370425
68	0.4511705907
69	0.4505453899
70	0.4498602559
71	0.4493311459
72	0.4487586121
73	0.4482875758
74	0.4474609823
75	0.4469296358
76	0.4460835985
77	0.4452886522
78	0.4445416884
79	0.4438397895
80	0.4431802169
81	0.4425603995
82	0.442042306
83	0.4412706138
84	0.4405861718
85	0.4399472557
86	0.4392915272
87	0.4387622582
88	0.4381692649
89	0.4375886311
90	0.4371092967
91	0.4365807381
92	0.4360795214
93	0.4357571053
94	0.4353291611
95	0.4348962043
96	0.4345007062
97	0.4341136397
98	0.4338500274
99	0.4334714261
100	0.4331170846
101	0.4327547717
102	0.4324231098
103	0.4320417304
104	0.4316813223
105	0.4313533484
106	0.4310202662
107	0.4307345713
108	0.4304097705
109	0.4300848672
110	0.429697345
111	0.4294074906
112	0.4291281135
113	0.4288653763
114	0.4286022856
115	0.4284097561
116	0.4280765368
117	0.4278071132
118	0.4274985556
119	0.4272484679
120	0.426991613
121	0.4267500753
122	0.4265189892
123	0.4263304889
124	0.4261071013
125	0.4258844143
126	0.425662358
127	0.4254328591
128	0.4251450124
129	0.4249277395
130	0.4247276199
131	0.4245115612
132	0.4243266764
133	0.4241528012
134	0.423946812
135	0.4236848309
136	0.4235633506
137	0.4233730021
138	0.4231521459
139	0.4229912826
140	0.4227439649
141	0.4226697133
142	0.4224784869
143	0.4223326684
144	0.422189143
145	0.4220099478
146	0.4218627792
147	0.4217243662
148	0.4215705475
149	0.4214423088
150	0.4213468695
151	0.4211965476
152	0.4210455357
153	0.4209165921
154	0.420695183
155	0.4204871381
156	0.4203289232
157	0.420180191
158	0.4199903878
159	0.4198081839
160	0.4196305429
161	0.4195227362
162	0.4193569881
163	0.4192567259
164	0.419090418
165	0.4189342263
166	0.4188058079
167	0.4186762679
168	0.4185277791
169	0.418429843
170	0.4182737945
171	0.4182003164
172	0.4180900158
173	0.4179418364
174	0.4178025662
175	0.4176998687
176	0.417571165
177	0.4174524149
178	0.4173466338
179	0.4172537527
180	0.4171205979
181	0.4170202273
182	0.4169041842
183	0.4167793608
184	0.4166676116
185	0.4165517612
186	0.4164428383
187	0.4163324106
188	0.416209366
189	0.4160921815
190	0.4159934142
191	0.4159097876
192	0.4158123435
193	0.4157127927
194	0.4156193577
195	0.415519552
196	0.4154344227
197	0.4153223733
198	0.4152382731
199	0.415158442
200	0.4150880055
201	0.415006213
202	0.414896567
203	0.414831751
204	0.4147642399
205	0.4146613168
206	0.414600187
207	0.4145450416
208	0.4144548224
209	0.4143851856
210	0.4143004551
211	0.4142218283
212	0.4141537324
213	0.4140595316
214	0.4139911707
215	0.4139339888
216	0.4138763225
217	0.4138257775
218	0.4137272536
219	0.413634556
220	0.4135790759
221	0.4134992552
222	0.413412997
223	0.4133603654
224	0.4132853333
225	0.4131984783
226	0.4131285173
227	0.413069813
228	0.4130027855
229	0.4129565238
230	0.4129140546
231	0.4128504277
232	0.4127731584
233	0.4127146521
234	0.4126542077
235	0.4125576096
236	0.4124812333
237	0.4124055756
238	0.4123240685
239	0.4122515335
240	0.4122028637
241	0.412134524
242	0.4120702259
243	0.4119712082
244	0.4119286835
245	0.4118627905
246	0.4117995917
247	0.4117121838
248	0.4116560129
249	0.4113705279
250	0.4111054885
251	0.4110245981
252	0.4109616752
253	0.4109024725
254	0.4106556457
255	0.4106164903
256	0.4105468262
257	0.410477682
258	0.4104434747
259	0.4102049733
260	0.409983167
261	0.4099340471
262	0.4097268926
263	0.4096739767
264	0.4096150771
265	0.4095563379
266	0.4095010706
267	0.4093174721
268	0.4092454789
269	0.4090668775
270	0.4089967552
271	0.4089308114
272	0.4088755735
273	0.4087097591
274	0.4085552896
275	0.4084938213
276	0.4084308723
277	0.4083831647
278	0.4083265472
279	0.4083120375
280	0.4082543484
281	0.4081978346
282	0.4081492327
283	0.4081370799
284	0.4080823986
285	0.4080247159
286	0.4079725811
287	0.4079192273
288	0.4078715151
289	0.4078281897
290	0.4076934224
291	0.407664214
292	0.4076216909
293	0.4075780912
294	0.407541917
295	0.4074886828
296	0.4074490103
297	0.4074079309
298	0.407289236
299	0.4072582178
300	0.4072053945
301	0.4071574783
302	0.4071087958
303	0.4070678594
304	0.4070148484
305	0.406969371
306	0.4069691164
307	0.4069200719
308	0.40687446
309	0.406864345
310	0.4068364655
311	0.406790604
312	0.4067446594
313	0.4067035712
314	0.4066488856
315	0.4066118266
316	0.406560746
317	0.4065176397
318	0.4064770993
319	0.4064324015
320	0.4064238186
321	0.4063817905
322	0.4063339716
323	0.4062943494
324	0.4062516627
325	0.4062036782
326	0.4061638293
327	0.4061178532
328	0.4060746088
329	0.4059574243
330	0.4059143086
331	0.40587361
332	0.4058372903
333	0.4058302851
334	0.4058246183
335	0.4057824631
336	0.4057463811
337	0.4057074784
338	0.4057028677
339	0.4056686936
340	0.4056339016
341	0.4056006498
342	0.4055635232
343	0.4055300721
344	0.4054989522
345	0.4054673436
346	0.4054294954
347	0.4053938855
348	0.4053386133
349	0.4052991485
350	0.4052641845
351	0.4052599932
352	0.4052221337
353	0.4051872774
354	0.405157666
355	0.4051149189
356	0.4050821186
357	0.4050536704
358	0.4050177309
359	0.4049774128
360	0.4049433407
361	0.4049397752
362	0.4049077155
363	0.4048785742
364	0.4048457923
365	0.4048113026
366	0.4047843846
367	0.404752019
368	0.4047253629
369	0.4046885674
370	0.4046587153
371	0.4046259265
372	0.404590933
373	0.404565796
374	0.404531149
375	0.4045303936
376	0.4045010264
377	0.4045002932
378	0.4044665089
379	0.4044335292
380	0.4044061067
381	0.4043559869
382	0.4043482471
383	0.4043476539
384	0.4042439656
385	0.4042434119
386	0.4042117364
387	0.4042112188
388	0.4041850114
389	0.404159265
390	0.40415877
391	0.4041290667
392	0.404128598
393	0.4041281674
394	0.4041003114
395	0.4040999059
396	0.404099524
397	0.4040967401
398	0.4040967371
399	0.4040670018
400	0.4040426888
401	0.4039981301
402	0.403969199
403	0.4039667375
404	0.4039438188
405	0.4039148803
406	0.4038867198
407	0.4038602307
408	0.4038534112
409	0.4038249519
410	0.4037357551
411	0.4036433811
412	0.4036153311
413	0.4035870544
414	0.4035604316
415	0.4035322852
416	0.4035087167
417	0.4034870267
418	0.4034806344
419	0.403480379
420	0.4034580664
421	0.4034559087
422	0.4034310007
423	0.4034000279
424	0.4033918691
425	0.4033841948
426	0.403378211
427	0.4033709963
428	0.4033506504
429	0.4033245104
430	0.4032860832
431	0.4032804365
432	0.4032503606
433	0.4031653793
434	0.4031408781
435	0.4031390433
436	0.4031322313
437	0.4031258239
438	0.4031197969
439	0.4031145113
440	0.4031095258
441	0.4030868113
442	0.4030654446
443	0.4030444172
444	0.4030386924
445	0.4030119474
446	0.4029826055
447	0.4029568437
448	0.4029379941
449	0.4029102384
450	0.4029084305
451	0.4028812684
452	0.4028546702
453	0.4028308007
454	0.402825377
455	0.4027982207
456	0.4027931164
457	0.4027884348
458	0.4027883514
459	0.4027835536
460	0.402757756
461	0.4027533727
462	0.4027269351
463	0.4026969655
464	0.4026721653
465	0.4026475796
466	0.4026475791
467	0.4026292739
468	0.4026291939
469	0.4026250601
470	0.402547881
471	0.4025433303
472	0.4025177531
473	0.402517752
474	0.4024987932
475	0.402479681
476	0.4024554118
477	0.4024511122
478	0.4024272145
479	0.4024051226
480	0.4024051189
481	0.402403402
482	0.4023786823
483	0.4023538643
484	0.4023360117
485	0.4023299995
486	0.4023081834
487	0.4022843837
488	0.4022826667
489	0.4022135745
490	0.4021918616
491	0.402191808
492	0.4021750607
493	0.4021750607
494	0.4021521766
495	0.4021505467
496	0.4021490134
497	0.4021317547
498	0.4021317538
499	0.4021137849
500	0.4021079813
501	0.4020910866
502	0.4020677484
503	0.4020515072
504	0.4020219284
505	0.4019584578
506	0.4019364104
507	0.4019138081
508	0.4019138069
509	0.4018978116
510	0.4018774802
511	0.4018732316
512	0.4018732316
513	0.4018520768
514	0.4018315844
515	0.401811475
516	0.4018074391
517	0.4017916715
518	0.4017916242
519	0.4017688013
520	0.4017492271
521	0.401727369
522	0.4017258401
523	0.4016583527
524	0.4016541404
525	0.401650261
526	0.4016231464
527	0.4016083389
528	0.4016044385
529	0.4016044346
530	0.4015843931
531	0.4015813945
532	0.4015625331
533	0.4015589337
534	0.4015552722
535	0.4015552669
536	0.4015367694
537	0.4015344249
538	0.4015154224
539	0.4015006099
540	0.4014789992
541	0.4014603958
542	0.401439525
543	0.4014241154
544	0.401405986
545	0.4013856448
546	0.4013680193
547	0.4013675382
548	0.4013431059
549	0.4013396973
550	0.4013254381
551	0.4013047291
552	0.4012900883
553	0.4012885961
554	0.4012339026
555	0.4012161158
556	0.4012161158
557	0.4011642717
558	0.4011633076
559	0.401149707
560	0.4011489117
561	0.4011319005
562	0.4010720187
563	0.4010536586
564	0.4010536555
565	0.4010536368
566	0.4010302539
567	0.401030252
568	0.401012399
569	0.4010090448
570	0.4009916297
571	0.4009893095
572	0.4009861767
573	0.4009679275
574	0.4009546117
575	0.4009367733
576	0.400918941
577	0.4009174337
578	0.4009167864
579	0.400897142
580	0.4008951888
581	0.4008775894
582	0.4008775866
583	0.4008650527
584	0.4008650447
585	0.4008525627
586	0.4008357369
587	0.4008191108
588	0.4008059794
589	0.4007843374
590	0.4007686551
591	0.4007670057
592	0.4007665393
593	0.4007517857
594	0.4007514101
595	0.4006960429
596	0.4006759291
597	0.4006585596
598	0.4006460575
599	0.4006267458
600	0.4006264126
601	0.4006107633
602	0.400593796
603	0.4005904096
604	0.4005749099
605	0.4005745999
606	0.4005733641
607	0.4005598372
608	0.4005476319
609	0.4005476244
610	0.400531642
611	0.4005152698
612	0.4005138299
613	0.4005010142
614	0.4004851641
615	0.400469699
616	0.4004685413
617	0.4004549721
618	0.4004431898
619	0.4004263398
620	0.4004252872
621	0.4004094407
622	0.4003602881
